#-----------------------------------------------------------
# xsim v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:34:34 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Mon Oct  6 04:40:00 2025
# Process ID         : 163819
# Current directory  : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1
# Command line       : xsim -mode tcl -source {xsim.dir/work.fifo_tb/xsim_script.tcl}
# Log file           : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/xsim.log
# Journal file       : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/xsim.jou
# Running On         : arthur-nathaniel
# Platform           : Ubuntu
# Operating System   : Ubuntu 24.04.3 LTS
# Processor Detail   : 13th Gen Intel(R) Core(TM) i3-1315U
# CPU Frequency      : 1508.207 MHz
# CPU Physical cores : 6
# CPU Logical cores  : 8
# Host memory        : 8038 MB
# Swap memory        : 4294 MB
# Total Virtual      : 12333 MB
# Available Virtual  : 5141 MB
#-----------------------------------------------------------
source xsim.dir/work.fifo_tb/xsim_script.tcl
# xsim {work.fifo_tb} -autoloadwcfg -runall
Time resolution is 1 ps
open_wave_config /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/work.fifo_tb.wcfg
run -all
[0]   wr_en = 0, rd_en = 0, data_in =   x, data_out =   x, full = x, empty = x
[760000]   wr_en = 1, rd_en = 1, data_in =  96, data_out =  94, full = 0, empty = 0
[765000]   wr_en = 1, rd_en = 1, data_in =  96, data_out =  95, full = 0, empty = 0
[770000]   wr_en = 1, rd_en = 1, data_in =  97, data_out =  95, full = 0, empty = 0
[775000]   wr_en = 1, rd_en = 1, data_in =  97, data_out =  96, full = 0, empty = 0
[780000]   wr_en = 1, rd_en = 1, data_in =  98, data_out =  96, full = 0, empty = 0
[785000]   wr_en = 1, rd_en = 1, data_in =  98, data_out =  97, full = 0, empty = 0
[790000]   wr_en = 1, rd_en = 1, data_in =  99, data_out =  97, full = 0, empty = 0
[795000]   wr_en = 1, rd_en = 1, data_in =  99, data_out =  98, full = 0, empty = 0
[800000]   wr_en = 1, rd_en = 1, data_in = 100, data_out =  98, full = 0, empty = 0
[805000]   wr_en = 1, rd_en = 1, data_in = 100, data_out =  99, full = 0, empty = 0
[810000]   wr_en = 1, rd_en = 1, data_in = 101, data_out =  99, full = 0, empty = 0
[815000]   wr_en = 1, rd_en = 1, data_in = 101, data_out = 100, full = 0, empty = 0
[820000]   wr_en = 1, rd_en = 1, data_in = 102, data_out = 100, full = 0, empty = 0
[825000]   wr_en = 1, rd_en = 1, data_in = 102, data_out = 101, full = 0, empty = 0
[830000]   wr_en = 1, rd_en = 1, data_in = 103, data_out = 101, full = 0, empty = 0
[835000]   wr_en = 1, rd_en = 1, data_in = 103, data_out = 102, full = 0, empty = 0
[840000]   wr_en = 1, rd_en = 1, data_in = 104, data_out = 102, full = 0, empty = 0
[845000]   wr_en = 1, rd_en = 1, data_in = 104, data_out = 103, full = 0, empty = 0
[850000]   wr_en = 1, rd_en = 1, data_in = 105, data_out = 103, full = 0, empty = 0
[855000]   wr_en = 1, rd_en = 1, data_in = 105, data_out = 104, full = 0, empty = 0
[860000]   wr_en = 1, rd_en = 1, data_in = 106, data_out = 104, full = 0, empty = 0
[865000]   wr_en = 1, rd_en = 1, data_in = 106, data_out = 105, full = 0, empty = 0
[870000]   wr_en = 1, rd_en = 1, data_in = 107, data_out = 105, full = 0, empty = 0
[875000]   wr_en = 1, rd_en = 1, data_in = 107, data_out = 106, full = 0, empty = 0
[880000]   wr_en = 1, rd_en = 1, data_in = 108, data_out = 106, full = 0, empty = 0
[885000]   wr_en = 1, rd_en = 1, data_in = 108, data_out = 107, full = 0, empty = 0
[890000]   wr_en = 1, rd_en = 1, data_in = 109, data_out = 107, full = 0, empty = 0
[895000]   wr_en = 1, rd_en = 1, data_in = 109, data_out = 108, full = 0, empty = 0
